Country,WB_Rate,WB_Year,WTO_Rate,WTO_Year,UNCTAD_Rate,UNCTAD_Year
Croatia,1.39,2021,,EU member,1.57,2021
Haiti,6.76,2020,4.9,2020,6.39,2020
Hungary,1.39,2021,,EU member,1.04,2021
Indonesia,1.83,2021,8.1,2021,1.61,2021
India,5.87,2021,18.3,2021,6.04,2021
Ireland,1.39,2021,,EU member,1.53,2020
Iran,12.09,2020,20.1,2020,12.66,2020
Iceland,1.51,2021,3.1,2021,0.0,2021
Israel,2.88,2021,3.6,2021,2.13,2021
Italy,1.39,2021,,EU member,1.63,2021
Jamaica,8.61,2021,8.6,2021,9.13,2021
Jordan,3.98,2020,10.1,2020,3.44,2020
Japan,1.84,2021,4.2,2021,0.76,2021
Kazakhstan,2.17,2021,5.7,2021,2.15,2021
Kenya,9.3,2021,13.2,2021,7.27,2021
Kyrgyzstan,3.01,2021,6.5,2021,2.94,2021
Cambodia,5.37,2021,10.2,2021,6.2,2021
Kiribati,,,0.0,2021,,
Saint Kitts and Nevis,8.84,2020,9.2,2020,8.78,2020
South Korea,4.85,2021,13.6,2021,1.09,2021
Kuwait,2.85,2021,4.7,2021,3.16,2021
Laos,1.12,2021,8.6,2021,1.21,2021
Lebanon,2.83,2020,6.0,2020,2.36,2020
Liberia,6.64,2021,12.1,2021,6.09,2021
Libya,4.03,2021,5.2,2021,4.27,2021
Saint Lucia,9.08,2020,9.2,2021,9.55,2020
Sri Lanka,4.36,2021,6.0,2021,1.73,2021
Lesotho,3.35,2021,7.7,2021,4.44,2021
Lithuania,1.39,2021,,EU member,2.29,2021
Luxembourg,1.39,2021,,EU member,1.47,2021
Latvia,1.39,2021,,EU member,1.18,2021
Macau,0.0,2021,0.0,2021,0.0,2021
Morocco,4.23,2021,14.2,2021,2.91,2021
Moldova,1.2,2021,5.3,2021,1.05,2021
Madagascar,7.51,2021,11.7,2021,8.03,2021
Maldives,10.55,2021,11.4,2021,11.25,2021
Mexico,1.21,2018,7.1,2021,1.33,2018
North Macedonia,2.38,2021,6.7,2021,1.1,2021
Mali,7.88,2021,12.1,2021,7.35,2021
Malta,1.39,2021,,EU member,2.09,2019
Myanmar,1.04,2021,6.5,2021,0.95,2021
Montenegro,3.19,2021,3.7,2021,1.24,2021
Mongolia,5.28,2021,5.2,2021,4.69,2021
Mozambique,4.19,2021,10.3,2021,4.37,2021
Mauritania,8.32,2021,12.0,2021,10.03,2021
Montserrat,,,,,11.61,2021
Mauritius,1.27,2021,0.8,2021,0.86,2021
Malawi,5.95,2021,12.2,2021,5.13,2021
Malaysia,3.62,2021,5.6,2021,3.78,2021
Namibia,1.32,2021,7.7,2021,1.05,2021
Niger,8.46,2021,12.1,2021,7.76,2021
Nigeria,12.2,2021,12.1,2021,12.3,2021
Nicaragua,1.96,2021,5.7,2021,2.07,2021
Netherlands,1.39,2021,,EU member,1.48,2021
Norway,3.0,2021,5.9,2021,0.13,2021
Nepal,11.99,2021,12.7,2021,11.88,2021
Nauru,14.07,2021,12.9,2021,13.35,2021
New Zealand,0.86,2021,1.9,2021,0.9,2021
Oman,2.0,2021,5.6,2021,2.18,2021
Pakistan,9.03,2021,11.2,2021,11.14,2021
Panama,6.43,2021,5.1,2021,4.42,2021
Peru,0.65,2021,2.4,2021,0.79,2021
Philippines,1.73,2021,6.1,2021,0.9,2021
Palau,9.49,2021,4.0,2021,3.14,2021
Papua New Guinea,3.58,2021,4.2,2021,2.23,2021
Poland,1.39,2021,,EU member,1.85,2021
Portugal,1.39,2021,,EU member,1.58,2021
Paraguay,4.49,2021,9.6,2021,4.77,2021
Palestine,2.18,2017,,,0.83,2017
French Polynesia,5.75,2021,,,6.76,2021
Qatar,3.53,2021,5.1,2021,3.78,2021
Romania,1.39,2021,,EU member,1.17,2021
Russia,4.17,2021,6.6,2021,3.8,2021
Rwanda,11.97,2021,12.4,2021,6.59,2021
Saudi Arabia,4.23,2020,6.3,2021,5.2,2020
Sudan,0.0,2021,21.6,2021,0.0,2021
Senegal,8.88,2021,12.1,2021,9.34,2021
Singapore,0.0,2021,0.0,2021,0.0,2021
Solomon Islands,14.31,2021,9.9,2021,8.8,2021
Sierra Leone,14.22,2021,12.1,2021,12.45,2021
El Salvador,1.88,2021,6.0,2021,2.04,2021
San Marino,,,,,0.69,2021
Serbia,1.72,2021,7.4,2021,1.62,2021
São Tomé and Príncipe,9.97,2019,9.9,2019,10.58,2019
Suriname,8.43,2021,10.4,2021,7.43,2021
Slovakia,1.39,2021,,EU member,1.51,2021
Slovenia,1.39,2021,,EU member,1.91,2021
Sweden,1.39,2021,,EU member,1.51,2021
Eswatini,2.14,2021,7.7,2021,2.77,2021
Seychelles,1.07,2021,2.4,2021,0.14,2021
Syria,9.21,2020,10.8,2020,9.03,2020
Chad,16.36,2016,,,16.06,2016
Togo,10.73,2021,12.1,2021,10.36,2021
Thailand,3.15,2021,11.5,2021,2.07,2021
Tajikistan,2.31,2021,8.0,2021,3.58,2021
Turkmenistan,2.88,2002,,,1.13,2002
Timor-Leste,2.53,2021,2.5,2021,2.52,2021
Tonga,6.59,2021,10.7,2021,8.3,2021
Trinidad and Tobago,8.87,2021,8.3,2021,5.06,2021
Tunisia,9.35,2016,,,9.1,2016
Turkey,3.22,2021,10.7,2021,1.69,2021
Tuvalu,2.43,2017,,,1.27,2017
Taiwan,,,6.6,2021,1.31,2021
Tanzania,8.67,2021,13.1,2021,6.05,2021
Uganda,8.67,2021,17.6,2021,6.04,2021
Ukraine,1.71,2021,4.4,2021,1.87,2021
Uruguay,5.25,2021,10.3,2021,6.64,2021
United States,1.47,2021,3.4,2021,1.48,2021
Uzbekistan,2.56,2021,7.4,2021,2.36,2021
Saint Vincent and the Grenadines,9.06,2021,10.0,2021,9.27,2021
Venezuela,13.61,2021,13.8,2021,15.27,2021
Vietnam,1.17,2021,9.6,2021,0.85,2021
Vanuatu,11.08,2021,9.2,2021,9.31,2021
Wallis and Futuna,,,,,2.09,2021
Samoa,10.38,2020,11.3,2021,9.03,2020
Yemen,5.03,2017,7.6,2017,5.97,2017
South Africa,4.46,2021,7.8,2021,4.79,2021
Zambia,4.81,2021,14.6,2021,4.78,2021
Zimbabwe,11.37,2021,17.9,2021,10.08,2021
Low & middle income economies (WB),4.28,2017,,,,
Low-income economies (WB),9.79,2017,,,,
Middle-income economies (WB),,,,,,
Upper middle income economies (WB),3.7,2017,,,,
High-income economies (WB),2.02,2017,,,,
European Union,1.39,2021,5.2,2021,1.49,2021
